name,rating,comment
Mother Wolf,4,"So much hype around this place and I was curious to see if it would live up to it. After my recent visit, I'd say Mother Wolf is definitely worth it to an..."
The Edmon,4,"Great atmosphere, good drinks, efficient service  and decent bar food. The specialty cocktails kinda small and not very strong, my ginger margarita was..."
The Edmon,5,"Went there during the work week. 

I'm giving five stars for the food and drinks. We got chorizo sliders, brussel sprouts, duck tacos and meatballs. I..."
The Edmon,5,"This is been my go-to meet up spot for friends in central Hollywood. They have excellent drinks, and beautiful bar inside, and a great outdoor hang for a..."
Osteria La Buca,5,I recently had a baby so I am unable to dine out since I haven't been able to find a good nanny. I had this pasta craving and found Osteria La Buca on food...
Osteria La Buca,5,"This place is a must... their cocktails are delicious
i had the tomorrow never knows  its citrusy creamy sweet but not too sweet and spicy sooo good.
Then..."
Osteria La Buca,5,"One of Los Angeles' gems. Osteria La Buca is a smart choice for fresh pasta.
While Osteria La Buca does not have big celebrity chef names behind it, they..."
The Front Yard,4,"The place is very cute and cozy. Liked the design!
We went there for lunch and ordered three types of flatbread. It was good especially the one with salmon...."
The Front Yard,3,"went for breakfast and was told to get from the breakfast buffet, thought it was food ready and just to get. I saw the table next to us get the actual..."
The Front Yard,5,"This was the restaurant attached to our Hotel The Garland, so we came for breakfast one morning. The Service was top notch. Had great coffee and never..."
Girl & The Goat,5,"Loved it. I've tried both L.A. & Chicago; menus do vary a bit. My highlights for LA:
-Duck Tartare: there was a nice brightness 
-Goat Liver Mouse: mouse..."
Girl & The Goat,5,"honestly fucking incredible, every last course, the service, the vibe, order apps, get dessert, it's worth it.  first yelp review ever i'm not even mad"
Girl & The Goat,5,"Do you know why it is called ""Girl & The Goat""? Here is why?
The restaurant ""Girl & the Goat"" in Chicago was named after the childhood nickname ""Goat Girl""..."
Yuko Kitchen - Wilshire,5,Super cute intimate sushi place ! Very knowledgeable and equipped in regards to gluten allergies. A cozy and comfortable experience. Will definitely see me...
Yuko Kitchen - Wilshire,5,"i love it here. the food is great. the green tea strawberry chocolate chip cookie was super amazing, even days later when i had forgot about it!! i also..."
Yuko Kitchen - Wilshire,4,"Got the spicy salmon roll plate with veggie miso soup. Pretty tasty. Good portions. 

Mint lemonade was the best part. A must order. But at a steep price of..."
Bottega Louie,5,Chicken parm was amazing with the side of spaghetti. Bread was warm to the touch and the slab of butter really tied it in. Waiter kept refilling our waters...
Bottega Louie,4,I give four stars because there is always room for improvement. The food was great and the service was excellent. The ambiance was pleasant and vibrant...
Bottega Louie,5,"If you're looking for a stylish and bustling spot with delicious food and beautiful desserts or just visiting Los Angeles, Bottega Louie is definitely worth..."
BROKEN MOUTH | Lee's Homestyle,4,"First time trying this place. Wait can be long, but worth a try. Food was delicious. Location can be sketchy."
BROKEN MOUTH | Lee's Homestyle,5,"Wow!  This place is great.  So this was the place voted #1 the country and it absolutely delivered.  Talented young chef, go check it out.  We had the..."
BROKEN MOUTH | Lee's Homestyle,5,"ambiance -- 
casual stall in a good hall! parking is a bit difficult so be sure to download the app for your meter, it also shows you which meters around..."
L'Antica Pizzeria Da Michele,3,"I was really excited to try this place based on the reviews, Instragram photos, and experience having pizza in Italy, Naples included. Finally had the..."
L'Antica Pizzeria Da Michele,5,Wonderful pizza! The restaurant is beautiful and you can enjoy the hospitality and great customer service.
L'Antica Pizzeria Da Michele,5,"I recently had the pleasure of dining at L'Antica and I must say, it was one of the best dining experiences I've had in a long time. From the moment I..."
Openaire,5,AMBIANCE 10/10 - If you're looking for an amazing lunch spot THIS IS IT! The spring bowl is to die for!!!Service was a little slow but everyone was very...
Openaire,4,"TL;DR
Cute. Pricey. Food is secondary. 

Great looking spot with view of the pool. Very ""instagramable"" with the indoor and outdoor vibes. 

Brunch only..."
Openaire,3,"Had a brunch reservation at 11:30 AM and had requested the inside. They don't seat without the full party there, no problem. Our third friend arrived at..."
Pine & Crane,5,"有人愛，不僅僅被愛，還要有能愛人，愛這世界的能力; 有事做， 事不分大小， 只有你愛不愛做; 有所期待， 人不怕卑微， 就怕失去希望，期待明天， 期待每日早起的陽光～

Downtown 的這家 pine & crane , 應該也算是市中心小有名氣的店家之一, 今天終於來朝聖，整個裝潢設計就是開闊明亮，..."
Pine & Crane,2,I LOVE P&C. Please make your clamshell bun hot.   Last three times I ordered them they were all cold.  Please someone let the owner or manager know.  One...
Pine & Crane,5,"Ambience was lively yet intimate, and the staff was chill. Lotss of people were waiting in the line but it moved fast and the food came out quick!..."
Tonchin LA,5,"I dine out often and am not one to leave a review but I had to after eating here. I have had ramen all over the West Coast but this is by far, hands down..."
Tonchin LA,5,"First of all, I would like to mention that all the food here (as posted in the picture) are amazing!  The food is of good quality and flavor.  My friends..."
Tonchin LA,5,"One of our favorite date night spots!! Reservations are a must, especially for a prime Friday night dinner slot, and we were seated exactly on time. I'd..."
Sparrow,5,"So disappointed I didn't come here sooner! 
Food and presentation are amazing!
Each drink I ordered had its own unique experience and visuals. The music was..."
Sparrow,5,"The ambiance at sparrow is awesome
Love the open restaurant to the pool
Staff was so nice
Food was great"
Sparrow,2,"When you walk in, it's beautiful. The hostesses are attractive, all smiles, and very polite. But the tables are really packed in so you have to maneuver..."
Marlou Koreatown,5,Fantastic dinner. The food was incredible. Beautifully presented and delicious. The staff was super attentive. I don't think I've had my water glass filled...
Marlou Koreatown,5,"Marlou is such a hidden gem in Koreatown. The service, ambience, and food were all amazing. Me and my friends were there for a birthday, and Marlou gave us..."
Marlou Koreatown,2,Honestly... was pretty disappointed! I was expecting so much just because it's decorated SO well and the ambiance of the place is beautiful! I loved the...
Saffy's,5,"We made it for last minute reservations at Saffy's last night with some friends and it was delicious! In fact, I'm still full from dinner last night, so..."
Saffy's,4,"I had been dying to try Saffy's for some time. It is a small, cute place and it is always busy.

Saffy's has wonderful Mediterranean food. I personally..."
Saffy's,4,I was excited to try Saffy's after I heard that it was under the same ownership as Bestia and Bavel. Bestia and Bavel are both of my favorite restaurants so...
Han Bat Sul Lung Tang,5,"My favorite Korean ox bone soup place ever! A portion including a bowl of white rice is very fulfilling.
The broth is unseasoned so you can do it yourself..."
Han Bat Sul Lung Tang,4,"Gopchang Sullungtang is highly recommended.
Soft and chewy gopchang with beef soup is good enough for dinner.
Side dishes are good but kimchi is a little..."
Han Bat Sul Lung Tang,4,Only needed to wait a few minutes before getting seated. Was in and out in less than an hour - that is how efficient they are. I ordered the beef and it was...
Seoul Night by Chef Kang,5,"My son and I had a delicious dinner at Seoul Night, our favorites were thick but pork belly and the seafood crab pasta! 

They have high end soju and good..."
Seoul Night by Chef Kang,1,i have been wanting to come here since they opened bc i loved their pop up chef kang. went there monday and got the kimchi pasta and volcano popcorn chicken...
Seoul Night by Chef Kang,4,"I had the greatest fried pork belly in the now closed chef Kang location, when I saw he has a new place and this offered the fried pork belly - I had to go...."
Cara Cara,4,Kinda expensive but great view and wine yasssssssss servers were sweet .--..................................................
Cara Cara,5,"Delicious!  We came here to celebrate our anniversary, and were seated on the rooftop with a nice view of the sunset. 

Food was tasty and the service was..."
Cara Cara,3,"4.5 stars for the staff, ambiance and food! Truly a wonderful experience!
2 stars for the cocktails, specifically the $23 Old Fashioned served over well..."
Maccheroni Republic,5,Great place for an evening dinner.  Pasta with meatballs deserves special attention!  Everything is very delicious!
Maccheroni Republic,5,"Super hidden gem, that's not so secret as the wait times will attest to. I hear they make their own pasta, but the highlight for me was the baked calamari...."
Maccheroni Republic,5,Great ambience for all occasions. Service is also very good although the wait can be a little long. Expect to wait 1-1.5 hours during weekend dinner hours....
Republique,5,"Ignoring the very loud French man who spoke at length about himself to a bored looking lady sitting next to us, this place was a delight. Very tasty food,..."
Republique,5,Had breakfast here good customer service food and the vibe! Wow will definitely recommend to friends. Cost is also very reasonable
Republique,5,Food was excellent- menu was incredible! And the service was phenomenal. Highly recommend
Louders,5,Best food ever!! I just flew into LA today and was trying to decide on what I wanted to eat. I looked through yelp and this place had great reviews. The...
Louders,5,"Came here on a saturday night with my gf. The restaurant is a little small but they make good use of the space and it doesn't feel too cramped. 

We ordered..."
Louders,5,My boyfriend and I came here around 10pm and this place was packed! However we were seated right away. We shared the go-hot wings and the booldak with...
Good Goose Cafe,5,"My husband and I loved this place. Order at the front desk then sit down and be served. Super cute space. Bright and cheery, not too loud. Great for a date..."
Good Goose Cafe,4,"What looked like a husband and wife owned and operated store (with maybe their daughter serving as well) was great!

The drinks: instagramable and..."
Good Goose Cafe,5,"What a great find! We had to come up to Hollywood and wanted to try someplace we've never been - and Thai food is one of our favorites, so when my..."
Marlou DTLA,5,Last night I was here with a couple friends for our little galentines night out. Jennifer hooked us up with a table and the vibe was great. The food was...
Marlou DTLA,5,A really solid brunch experience in DTLA. We wanted a good Sunday brunch so we chose Marlou based on other reviews and social media. I am happy that we did...
Marlou DTLA,2,"Just had weekend brunch and really was excited to try this place with a few friends and family. 

Service was pretty spotty throughout and I couldn't tell..."
Lolo,5,"Wowoweewaa

I would consider our stop here as second dinner. We were in the Fashion District before the sunset to try wings at a new spot. We figured we..."
Lolo,4,"My friend and I had heard about Lolo through an Instagram post, and we were intrigued by the cozy, intimate vibe and the rave food reviews. So we decided to..."
Lolo,4,"Visited Lolo and was really pleased with my experience! We came with no reservation on a Saturday so there was a bit of a wait, but we're led to the bar..."
Fixins Soul Kitchen - Los Angeles,5,"Food is bammmmb and the ambience is friendly, family oriented great music . The service was good the times I have been there it's been crowDed with a a..."
Fixins Soul Kitchen - Los Angeles,5,"Me and my mother heard about this place from many others, and it was an amazing experience! The appetizer was delicious, the main courses were excellent,..."
Fixins Soul Kitchen - Los Angeles,5,Phenomenal service. Quick and friendly staff. The food is amazing and portions are huge.
Pixiu Mala Hongtang,5,"Very fun and clean dining experience!! 

Enjoyed being able to select a ""diy"" style malatang with the option of soup version or dry noodles. 
Toppings I..."
Pixiu Mala Hongtang,5,"Newly opened great service clean interior great service!!
What more can you ask?
First grab a table, go to the salad bar and grab a bowl and tongs to pick..."
Pixiu Mala Hongtang,5,saw this place on tiktok and had to try it! this place offers malatang (soup) or mala xiang guo (spicy drypot) and i decided to try the malatang for my...
OSTE,5,"I just got our Pizza,s in the house. OMG! Now this is what you call a DAM GOOD PIZZA . It got delivered to our house not and hot!! And the Pizza 's were..."
OSTE,5,i love this place very much the owner will make it his duty too make sure you're okay and taken care of pizza is make fave dish. there are many options too...
OSTE,5,"Great food and service, the menu is amazing I hope to go again soon I strongly recommend it."
CHD MANDU LA,5,"Saw this place on yelp a while ago and finally got to try it out! 

The quality of food, amazing service, and unbeatable prices made chd mandu one of the..."
CHD MANDU LA,5,This place had the best Korean dumplings that I have ever tried. They have this mandu sampler which had 2 of each mandu flavor. I would be careful of the...
CHD MANDU LA,5,"I followed the rest of the other people on Yelp and ordered the sampler.  Each one of the mandoo was delicious.  

Ordered nandoo sampler
Jjoyl myun - cold..."
Wood,4,"Service was good, the wait was not long, , the Salmon dish was great . I would recommend this place!"
Wood,5,"My roommates and I had to brave harsh winds and pouring rain to get to Wood. My umbrella broke on the way into the restaurant. Zero regrets! 

Everything we..."
Wood,2,"Pizza was ok, the dough was a bit too crispy and the cheese was too salty.
They charged $6 to add arugula to the pizza which costs 60 cents. 
‍"
Perch,3,"SERVICE: 2/5
FOOD: 4/5

My boyfriend and I dined in at their rooftop February 8, 2023 for his birthday. Our reservation was at 4:45pm. Now, I am not too..."
Perch,5,Delicious food! Can't go wrong with breakfast! Service was great and the view was nice I suggest getting an outdoor table.
Perch,5,"Came to Perch on a whim, had never heard of this place, our bartender Malia made the last minute experience worth it. Very engaging and entertaining, made..."
Hangari Kalguksu,5,Seafood kalguksu 5/5 - I loved the flavor of this. It wasn't as spicy as it looks either. There's a good amount of seafood in the dish and lots of noodles!...
Hangari Kalguksu,5,"This is always my first AND last stop whenever I visit LA. 

They are always busy and packed! I came by as soon as I landed at 11am and it was busy already...."
Hangari Kalguksu,5,"The bossam here is excellent and the knife cut soup is nice, although I preferred the bossam. A bit of a wait, but once you are in the food is so tasty and..."
Ka'teen,5,"I loooooved this place. Music on point, food on point, vibes on point. I ordered the bass ceviche pescado zarandeado, esquite & papás bravas. Above all I..."
Ka'teen,5,We went here to celebrate the engagement of our friends. They take reservations via Resy. Street parking but generally not available so you may have to use...
Ka'teen,3,Hollywood Hollywood! Parking is always going to be bad. There is public parking across the street from the restaurant but of course FULL LOT right! Paid for...
Great White,5,"Everything about Great White is worth raving about. The food was actually the best we had the entire time in Southern California and no exaggeration, we..."
Great White,5,The vibe here was so fun! I recommend sitting out by the patio but if you sit around winter time then make sure you bundle up! It gets chilly despite the...
Great White,5,"Food, service and ambiance exceeded my expectations at Great White.

I arrived as a walk-in and only had to wait about 15 minutes before I got seated. The..."
King Chang - LA,5,"The food was great and very tasty. The service was great. The server we got was James. 10/10
Food is very delicious and our server Jame is very kind and..."
King Chang - LA,5,"Food is delicious and server is very kind and friendly
I recommended this restaurant . Our server James is funny and expert server. I got the good day and..."
King Chang - LA,5,"We walked a mile to finally find King Chang, truly our saving grace. With zero Korean bbq experience, I was pleasantly surprised by the tender meat and..."
Met Him At A Bar,5,Have never posted a review on yelp in my 6 years until now because this place is so worth it. First off just let me say the people who work here are so...
Met Him At A Bar,4,"I've heard of Met Her At A Bar, the place for brunch, and when I learned Met Him across the way was the place for pasta, I knew which one I was going to..."
Met Him At A Bar,4,I came here for brunch in a weekend and the wait was around 20 minutes. Not too bad at all for weekend brunch. The inside is nicely decorated but can feel a...
Hui Tou Xiang,5,"Staff and friendly and kind. 
I love xiao long pao here, is the best . 
My boy loves Yang chun noodle . 
Good price and good service."
Hui Tou Xiang,1,Disappointed. I called in the afternoon because we had a large party who wanted to try this place. I asked if they take reservation and they said no but...
Hui Tou Xiang,5,"This is a lovely oasis in a somewhat busy iconic Hollywood intersection. The ambiance was excellent and the staff was very welcoming! 

The food was very..."
OUI MELROSE,5,"Overall: 4.8/5 (delivery) 

BBQ Burger ($14.99): We usually don't go for BBQ but this BBQ burger was delicious! Everything was fresh & full of flavors. The..."
OUI MELROSE,4,"We love Oui! 

The Khachapuri is insane. The laffa wraps are divine! 
You really can't go wrong with anything you order here. ESPECIALLY the donuts. The..."
OUI MELROSE,5,The food is definitely unique and made fresh. The actual store is smaller than I imagined and it definitely seemed like the staff was overwhelmed with...
Supremo,5,"(Really 4.5, but rounding up because this was such a pleasant surprise!)

Don't let the fact that this restaurant is located in a strip mall deter you. Once..."
Supremo,5,"The pastas are luscious!! 

We got here for Saturday dinner around 8pm and no wait at all. We were quickly seated and the servers are very friendly.
We..."
Supremo,5,"One of my favorite neighborhood spots.  It's cute and cozy and not fancy , however serving up plates the will make II Fornaio jealous .   

The burrata..."
Farmhouse Kitchen Thai Cuisine,5,"I am thai, and the food is extremely good! The service is awesome and the drinks are very thai ( hello gorgeous , lod chong, thai star wars)

Grace is..."
Farmhouse Kitchen Thai Cuisine,5,We were in Los Ángeles visiting and I saw this place on Yelp and decided to try it.  Omg it was amazing.  The service was great and the restaurant was very...
Farmhouse Kitchen Thai Cuisine,5,Okay Farmhouse Kitchen Thai Cuisine! You are fun and flamboyant from head to toe. This is not a Thai restaurant that mimics the establishments found in Thai...
"The Butcher, The Baker, The Cappuccino Maker",5,SERVICE! This was the absolute best service I've had at a restaurant. Joey was absolutely exceptional! The food was to die for. I would recommend this to...
"The Butcher, The Baker, The Cappuccino Maker",5,"First time coming with my bf to the butcher the baker the cappuccino maker and by far was the best brunch we've ever had. 

We received the bananas French..."
"The Butcher, The Baker, The Cappuccino Maker",5,"Such a cute place! Everything we ordered was delish. We had the short rib Sammy, the truffle Chix Sammy, the burger and various cocktails. 

Also, Hannah..."
Bao Dim Sum House,5,haven't been here in FOREVER bc of pandemic and stuff. plus i don't live that close by anymore. but came in for lunch with a bud after a long time of being...
Bao Dim Sum House,3,Had a reservation for Friday night and was promptly seated. Our server was very friendly but was hard to track down. We had to wait until the end of the...
Bao Dim Sum House,3,"FOOD (3/5) -- The food was genuinely good. I ordered the crab & cream cheese wonton, egg drop soup, pork & shrimp shumai, pork dumpling, shrimp house fried..."
Majordomo,5,"Majordomo is one of six restaurants under David Chang's Momofuku empire, and the only one located in California.

Start your meal off with some delicious..."
Majordomo,5,Upon approach you would never think that you were coming to a fine dinning establishment. I grew up in and around East LA and the East side is not known for...
Majordomo,5,"Today, I was running late and decided to pick up something quick from Majordomo. Majordomo is at the industrial edge of Chinatown before some bridges and..."
Jon & Vinny's Fairfax,5,"This is the review for their food to go. 

We got the sausage pizza and the pasta fusilli. The pizza was a good size, but the pasta isn't enough. You need a..."
Jon & Vinny's Fairfax,1,"I was very excited to finally order from this restaurant and was super disappointed on portion size and taste.

I ordered spaghetti limone $21 - was the..."
Jon & Vinny's Fairfax,3,"Interior was super trendy--it successfully delivered the LA vibe. We had some difficulty finding parking, but it is LA after all, so come prepared. The..."
Seoul Salon Restaurant & Bar,5,"Highly recommend! We dropped by on a whim for late night dinner and were pleasantly surprised by the quality of food and drinks. 

We ordered:

-calamari:..."
Seoul Salon Restaurant & Bar,4,"great place for drinks! my favorite are the okbodan, haeundae blue, and watermelon soju.
i've had their rose and spicy tteokbokkis - they were okay.
truffle..."
Seoul Salon Restaurant & Bar,4,"Came here last weekend for date night and I really can't come up with any complaints. Service could probably have been slightly more attentive, but it..."
Little Sister,4,The four stars is for the taste of the food. The service left something to be desired. We were seated right away. It took a few minutes before someone gave...
Little Sister,4,I was craving Pho on a rainy day here in LA and stumbled upon Little SIster and thought why not give it a try! I wouldn't necessarily say this is authentic...
Little Sister,1,"I try to overlook mistakes in restaurants, but Little Sister's ""mistake"" was too glaring to ignore. I called the restaurant the next day to talk about this..."
The Sisters Cafe Vietnamese Asian Fusions,5,"Pho soups are very good, all of them! The staff is always polite and smiling
Definitely advise"
The Sisters Cafe Vietnamese Asian Fusions,5,This is one of the only places you will catch me leaving my house in the rain for. Tasha is such a ball of light and brings so much energy. The whole staff...
The Sisters Cafe Vietnamese Asian Fusions,5,"I love this place, everyone who works here is nice and the food is fantastic.

My current favorite spot to eat in Hollywood"
Firefly,5,"Awesome bar, yammy food, my favorite dish is salmon with grill vegetables. 
Great drinks and service, like this place and ambiance"
Firefly,5,The food was fantastic. BUT the service from Aimee was EXECELLENT she made sure to take special care of my date and I who were there for both of our...
Firefly,5,"The ambiance was awesome! Our service was on point at every step of our dinner. Our table was ready when our reservation time came up

We ordered nearly the..."
Morrison Atwater Village,3,"What happened to the bread pudding? it used to be eggy and with lots of raisins, now it's just dry. Maybe they've cut back on eggs and raisins because of..."
Morrison Atwater Village,5,Great place to have drinks & food with friends. And for bar food it was really good! Teddy was awesome! Greater server.
Morrison Atwater Village,5,"Great Service, Food, Drinks and Awesome Happy Hour. If you have Kieth as a waiter you're in for a great treat."
Yup Dduk LA,5,"During a segment at a recent Dreamcatcher (드림캐쳐) concert at the Hollywood Palladium, Yoohyeon (유현) and the group talked about eating at Yup Dduk and they..."
Yup Dduk LA,5,"man i LOVE yupdduk. i come here at least once a month to hit that craving, and it always HITS. however, if youre trying this for the first time, start out..."
Yup Dduk LA,3,"I tried this place for the first time today. On a scale of 1-10 I would give it a 6.5 to 7.

We got the yup O with Mozzarella, the tuna Mayo rice ball,..."
Hoy-Ka Thai Restaurant,5,"This place is totally legit!

Fast service, amazing food, and a cool vibe inside.

I got the Hoy Ka Noodle Soup (chicken). The flavor of the broth was hard..."
Hoy-Ka Thai Restaurant,5,"Our visit to this restaurant was interesting! It was the first time my wife, I, and our four-month-old kid visited any restaurant. The server was kind..."
Hoy-Ka Thai Restaurant,5,"Great spot for Thai food in Hollywood. If you can't handle spice, tell them NO SPICE! We ordered mild thinking there would be a slight hint of spice, but I..."
Rich Crab,5,"Better than Crab House. Bigger space. Better crab. Worse for parking unless you valet. 

Went around 12:30pm on a Saturday and there was no line. We ordered..."
Rich Crab,5,This was one of the most unique meals I've ever had and a total adventure for my tastebuds! This place is tucked away in the corner of a strip mall and was...
Rich Crab,5,"I love Crab House and always go there for my raw crab, uni + roe fix but decided to give Rich Crab a try and was not disappointed.

Their soy marinade was a..."
Khawaiian,5,Got the Loco Moco Plate again! It is so good!! It is so addictive. I get cravings for it every now and then. I especially like the salted cabbage on the...
Khawaiian,5,"Great little joint. Seems primarily take out but they have a bench in the front looking outside the window if you just need a quick spot to eat. 

Owners..."
Khawaiian,5,"3438 Wilshire Blvd, Los Angeles, CA 90010

Large Bulgogi Beef Plate Large Thai Tea (With Boba)

#FoodiesOfLosAngeles #foodstagram #foodblog #foodblogger..."
Heng Heng Chicken Rice,5,I was recommended to this restaurant by one of my Thai friends after telling her how my much I love Khao Mun Gai in Bangkok. This restaurant didn't...
Heng Heng Chicken Rice,5,Being that I've lived in West Hollywood for years and can never find good Asian food in the area unless I travel to Sawtelle or Monterey Park- am pretty...
Heng Heng Chicken Rice,5,"Great and simple food! 

I got the crispy pork with garlic rice. It's pretty addictive to eat and pairs well with their house spicy sauce. The pork is..."
Grandmaster Recorders,5,"Cheers to amazing service, management and f&b.
Having recently moved back down to LA from Sacramento I knew I needed to check out this location and bring my..."
Grandmaster Recorders,1,"Came here for the St Patrick's day party!

First incident was when security came up to me and told me they had reports of me pushing others when I just got..."
Grandmaster Recorders,2,Where to start about this miserable experience? The setting is undeniably cool and they play music from all the recordings made there. Rooftop restaurant...
DAMA,5,"TLDR: DAMN DAMA - They got the vibe. They got the service. They got the food. If you want a little vacation to Latin America, check out DAMA for delicious..."
DAMA,5,"WOW! Everything in this menu is fire!
Cute date spot! 
Service was impeccable! 
Wine list, fire!"
DAMA,4,"A great date night spot. 

Service was good. Our server and the rest of the staff were very attentive and kind. Our plates were switched out between the..."
Marugame Monzo,5,Oh LA your food is so heavenly. This udon spot is worth the visit for a variety of savory and creamy udon. You can get the creamy variety in the carbonara...
Marugame Monzo,5,"Marugame Monzo is an outstanding udon restaurant located in Little Tokyo. The restaurant's atmosphere is modern and clean, and the prices are reasonable for..."
Marugame Monzo,4,"Great dinner! Know that if you're trying to visit this restaurant on a weekend, you'll definitely have to wait but it goes by fast since the surrounding..."
